,State,Total_Offenses_Society,Animal_Cruelty,Drug_Narcotic_Offenses,Gambling_Offenses,Pornography_Obscene_Material,Prostitution_Offenses,Weapon_Law_Violations,Population_Covered,Total_Offenses_Property,Arson,Bribery,Burglary_Breaking_Entering,Counterfeiting_Forgery,Destruction_Damage_Vandalism,Embezzlement,Extortion_Blackmail,Fraud_Offenses,Larceny_Theft_Offenses,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses,Total_Offenses_Person,Assault_Offenses,Homicide_Offenses,Human_Trafficking_Offenses,Kidnapping_Abduction,Sex_Offenses,Total_Offenses,Crime_Rate_Total,Crime_Rate_Property,Crime_Rate_Society,Crime_Rate_Person,Year
1,Alabama,49895,607,43361,25,668,77,5157,4519862.0,130599,666,13,12056,3758,27607,253,227,13141,60400,8757,1513,2208,76654,73898,482,36,338,1900,257148,56.8928874377138,28.894466246978336,11.039053847219229,16.959367343516238,2022
2,Alaska,1864,27,1325,1,39,15,457,444412.0,8399,64,0,760,171,2404,22,37,721,3452,637,99,32,6681,5826,45,9,41,760,16944,38.12678325517763,18.899129636463464,4.194306184351458,15.033347434362708,2022
3,Arizona,45976,510,39724,1,1039,369,4333,4571670.0,127557,480,9,10138,1500,25121,398,500,17039,61878,7667,1387,1440,58118,53000,293,82,794,3949,231651,50.67098018885877,27.901620195683417,10.056718879534174,12.712641113641185,2022
4,Arkansas,34483,81,30507,13,534,68,3280,2986257.0,119718,490,3,13732,4301,25089,60,92,9954,54872,7436,1208,2481,64358,60242,337,10,652,3117,218559,73.18827549001979,40.08965068981002,11.54723119945805,21.551393600751712,2022
5,California,144161,645,117419,59,1654,871,23513,20450698.0,543624,3360,14,52995,9472,90274,1988,1084,61519,227300,65460,14283,15875,184079,165486,762,127,4847,12857,871864,42.632481297215385,26.582173381074817,7.049197049411223,9.001110866729341,2022
6,Colorado,37505,760,27236,4,1204,239,8062,5825547.0,284165,1385,59,22374,3245,59165,305,1067,23231,119556,45599,4320,3859,72319,63021,448,64,2250,6536,393989,67.63124561521862,48.779110356503864,6.4380220432519035,12.414113215462857,2022
7,Connecticut,10515,127,6182,9,294,38,3865,3626205.0,88162,192,7,4645,1912,16319,178,264,11867,43041,7009,1630,1098,31418,29074,168,11,335,1830,130095,35.876350068460006,24.31246992379085,2.8997257463381136,8.664154398331037,2022
8,Delaware,13056,1370,9205,28,89,28,2336,1018396.0,38855,111,0,2132,550,8941,115,104,7265,16794,1658,584,601,16578,15790,71,5,182,530,68489,67.25183523894438,38.15313492983083,12.820160330559036,16.27853997855451,2022
9,District of Columbia,5671,16,1643,5,45,14,3948,671803.0,45536,6,5,1376,292,13584,4,69,4485,19002,3907,2404,402,21196,20235,197,0,48,716,72403,107.77415403027375,67.78177531210787,8.44146275024077,31.55091596792512,2022
10,Florida,30654,255,23805,12,318,362,5902,7025392.0,136827,246,2,8632,2646,20675,746,256,14820,77091,8361,2780,572,74044,70914,394,58,138,2540,241525,34.37886455303846,19.476066246552506,4.363315242765101,10.539483063720857,2022
11,Georgia,56104,1058,45111,28,1299,336,8272,9959008.0,264972,712,8,19996,7435,44247,560,533,38688,124775,19699,4217,4102,134475,122238,886,259,2417,8675,455551,45.74260809911991,26.606264399024482,5.633492813742091,13.50285088635334,2022
12,Hawaii,4227,93,3213,209,82,5,625,1233842.0,38681,359,2,3145,453,2079,45,159,4109,22110,4621,887,712,13870,12829,35,9,206,791,56778,46.017237215137754,31.3500431983998,3.425884351480984,11.241309665256978,2022
13,Idaho,28238,94,26490,1,351,34,1268,1938529.0,32343,150,5,3003,723,6833,233,159,5485,13436,1734,160,422,19073,16597,56,36,256,2128,79654,41.089919211938536,16.68430031224707,14.566715277408798,9.83890362228267,2022
14,Illinois,34093,221,21727,3,1096,187,10859,10010597.0,313085,821,6,20294,4473,81323,153,441,39292,122857,31339,11258,828,163645,155025,924,30,1138,6528,510823,51.02822538955469,31.275357503653378,3.4056909892586824,16.347176896642626,2022
15,Indiana,48145,563,40632,204,845,94,5807,5603871.0,125037,636,18,12344,2132,7084,919,248,18373,67178,11678,2777,1650,74029,66875,483,69,1775,4827,247211,44.11432739975635,22.312612121156967,8.59138263532476,13.210332643274622,2022
16,Iowa,23165,218,20574,9,343,43,1978,2968878.0,64022,254,28,6355,2179,13251,239,209,6842,29204,4285,621,555,29140,26733,66,24,235,2082,116327,39.182142209952715,21.564375498083788,7.8026109526898715,9.815155759179056,2022
17,Kansas,32479,1,28843,14,543,143,2935,2675833.0,97016,453,2,6578,2719,25320,615,486,12192,40300,6204,797,1350,45701,41377,146,0,1433,2745,175196,65.47344322310099,36.25637324900321,12.137902477471501,17.079167496626283,2022
18,Kentucky,41719,288,37762,6,722,45,2896,4509571.0,100000,348,49,10519,2307,18024,1384,128,6235,46499,9486,1654,3367,44610,39877,343,31,1124,3235,186329,41.318564448813426,22.17505833703472,9.251212587627514,9.892293524151189,2022
19,Louisiana,44683,410,35014,41,873,143,8202,3428406.0,126599,293,11,16487,2723,22464,1170,340,6684,63632,8128,1577,3090,60879,57358,390,19,678,2434,232161,67.7168923400554,36.92649003647759,13.03317051714412,17.757231786433696,2022
20,Maine,4277,48,3688,3,151,38,349,1384006.0,26621,160,5,1583,479,5758,40,69,2725,14562,980,141,119,13056,12059,54,3,39,901,43954,31.758532838730467,19.234743201980336,3.090304521801206,9.433485114948924,2022
21,Maryland,26943,506,21399,1,602,113,4322,4898180.0,141602,323,3,9647,2376,28369,458,307,19821,61563,11711,6248,776,59862,56010,502,69,117,3164,228407,46.63099355270733,28.909105014515596,5.500614513962328,12.221274024229407,2022
22,Massachusetts,14347,193,8553,61,945,268,4327,6947897.0,137461,373,22,9989,3357,29056,458,719,21808,60288,6986,2647,1758,74878,69888,159,45,543,4243,226686,32.62656311686831,19.784547755961267,2.0649413772253675,10.777073983681682,2022
23,Michigan,43762,897,25763,35,1248,625,15194,9616858.0,252945,1305,18,20657,3068,47126,2096,919,36810,105229,26155,3667,5895,164531,151275,811,49,834,11562,461238,47.96140277832947,26.302249653681066,4.550550710013603,17.1086024146348,2022
24,Minnesota,35639,338,27348,13,1060,114,6766,5711489.0,177765,628,7,12166,3866,31479,313,374,19258,84856,16534,3266,5018,49649,43792,252,102,584,4919,263053,46.056816357345696,31.12410791651704,6.239878952756452,8.6928294880722,2022
25,Mississippi,18502,235,16091,1,168,11,1996,1791767.0,46673,175,5,5681,1010,8624,860,94,4538,21510,2898,433,845,23446,22172,148,9,153,964,88621,49.46011395454878,26.048587790711625,10.326119411731549,13.085406752105603,2022
26,Missouri,62643,477,50732,147,892,175,10220,6077481.0,217981,1034,17,17381,4574,44969,685,198,14204,97588,30218,3397,3716,86566,80256,726,40,868,4676,367190,60.4181238904737,35.866998185596955,10.307395448871006,14.243730256005737,2022
27,Montana,5425,143,4924,7,26,23,302,1121153.0,33707,144,4,2180,742,7534,87,8,2042,17725,2509,266,466,15469,13322,58,4,322,1763,54601,48.700757166952236,30.06458529745717,4.838768660477205,13.79740320901786,2022
28,Nebraska,15949,85,14244,0,295,25,1300,1459853.0,37642,207,10,2220,1143,10306,138,278,4709,15986,2021,240,384,17645,15871,49,14,162,1549,71236,48.79669391370227,25.784787920427604,10.925072592925453,12.086833400349214,2022
29,Nevada,28333,298,19292,82,406,2370,5885,3162409.0,121232,424,16,13886,1738,22881,1402,300,10883,48477,15654,2748,2823,66653,61511,245,199,827,3871,216218,68.37129542699886,38.33533233683562,8.959309184865083,21.076653905298148,2022
30,New Hampshire,7135,233,5380,4,809,20,689,1378928.0,28486,123,5,960,719,7485,97,230,4993,12182,902,221,569,15448,13400,40,13,218,1777,51069,37.035291182715845,20.65807641878329,5.1743093185431,11.202905445389462,2022
31,New Jersey,12392,114,8103,7,164,175,3829,5630105.0,123401,246,5,8111,2893,16979,359,681,19008,61952,9341,2573,1253,43739,40919,171,8,257,2384,179532,31.8878599955063,21.91806369508206,2.201024670054999,7.768771630369239,2022
32,New Mexico,13025,108,8057,0,224,43,4593,1813146.0,99041,323,33,11159,951,24230,765,227,8287,38343,10859,2245,1619,39872,36610,229,20,968,2045,151938,83.79799530760347,54.62384165422972,7.183646545838008,21.99050710753574,2022
33,New York,9474,2,5110,13,289,27,4033,4587827.0,117908,501,8,7875,1764,31264,39,244,7224,58611,6324,2392,1662,50087,47124,201,3,652,2107,177469,38.68258327962236,25.700184422821522,2.0650299150338496,10.917368941766984,2022
34,North Carolina,112904,661,88992,102,2164,212,20773,10235931.0,345497,1450,15,36551,5147,61472,2479,1307,44794,160189,20366,5774,5953,149418,139683,919,75,1710,7031,607819,59.38092001597119,33.75335374964916,11.030164232252055,14.597402034069983,2022
35,North Dakota,13226,142,12050,1,307,47,679,779261.0,24848,97,7,2600,653,4396,103,129,2920,11109,1994,217,623,12417,11127,45,6,153,1086,50491,64.79343891199483,31.886620785590452,16.972490603276697,15.934327523127681,2022
36,Ohio,73808,382,58536,13,1731,513,12633,10916774.0,305310,1091,14,27901,4137,66437,157,748,22944,144278,26339,6146,5118,163545,151500,710,33,2095,9207,542663,49.70909904336208,27.967053270499143,6.760971693652356,14.981074079210579,2022
37,Oklahoma,34764,523,27576,3,1235,223,5204,4019800.0,144894,775,6,19172,3418,22075,1879,495,16549,63269,12736,1649,2871,66170,60354,328,15,734,4739,245828,61.15428628289964,36.04507686949599,8.64819145231106,16.461017961092594,2022
38,Oregon,13352,452,6507,2,533,203,5655,4079739.0,186210,1229,10,14587,2923,37726,239,264,15236,86671,22816,2865,1644,41715,37219,244,38,473,3741,241277,59.140302847804726,45.642625667965525,3.2727583798865565,10.224918799952643,2022
39,Pennsylvania,34259,437,23348,115,1150,297,8912,5229066.0,161382,800,4,9984,2018,30924,980,459,22722,71539,14367,6237,1348,67815,61606,767,23,271,5148,263456,50.38299382719591,30.86249054802521,6.551648038100877,12.96885524106982,2022
40,Rhode Island,3167,61,1966,8,254,6,872,1092311.0,25159,85,3,1448,547,6011,129,129,3357,11083,1717,268,382,9334,8560,18,3,39,714,37660,34.47736038545799,23.03281757667917,2.8993574174388064,8.545185391340013,2022
41,South Carolina,61494,479,48875,57,1136,107,10840,5271145.0,190908,632,7,17643,4269,33835,892,407,23020,91615,12726,2133,3729,96360,90929,641,35,906,3849,348762,66.16437225688158,36.21755804478913,11.666156024924376,18.280658187168065,2022
42,South Dakota,11267,48,9973,6,247,43,950,830169.0,23632,67,3,2021,528,4586,221,32,1762,11746,2114,230,322,13812,12497,67,5,144,1099,48711,58.67600452437998,28.466492967094652,13.571935352922115,16.637576204363207,2022
43,Tennessee,98354,635,80538,58,1086,505,15532,7047629.0,253273,878,19,21927,5608,45783,1972,890,26867,116528,25562,4755,2484,143204,134516,688,87,1904,6009,494831,70.21240760545142,35.93733438579131,13.955615427543078,20.31945779211704,2022
44,Texas,227626,3426,179836,642,5123,2723,35876,29643845.0,999574,2921,101,94689,23210,164470,3093,1127,88929,496659,98026,21219,5130,467425,437755,2369,596,3459,23246,1694625,57.16616720941565,33.719444964038914,7.678693502816521,15.768028742560219,2022
45,Utah,45967,135,40761,6,622,90,4353,3325856.0,105136,273,11,6331,1537,22839,73,493,13479,50492,6631,977,2000,39497,32918,85,38,1166,5290,190600,57.308554549565585,31.611711390992273,13.821103499369787,11.875739659203525,2022
46,Vermont,1281,60,1056,1,70,4,90,647064.0,15882,40,0,1004,310,2681,59,22,1436,9408,595,88,239,4224,3791,27,1,88,317,21387,33.052371944660806,24.544712733207223,1.9797114350357925,6.527947776417789,2022
47,Virginia,51427,1247,32421,34,2252,349,15124,8682813.0,252769,637,30,10886,4573,49759,1897,1344,40309,124772,13673,3353,1536,109467,100568,732,80,1905,6182,413663,47.64158804295336,29.111418154462154,5.922850117813201,12.607319770678005,2022
48,Washington,17058,350,9162,20,622,220,6684,7730372.0,402332,1526,17,42473,3793,85757,260,845,23032,179545,49693,6785,8606,89785,82011,454,59,1454,5807,509175,65.86681727606381,52.04561953810243,2.2066208456721097,11.614576892289271,2022
49,West Virginia,10509,30,8814,0,497,51,1117,1541815.0,27946,176,1,2894,651,5054,112,31,2299,14630,1383,168,547,13813,12453,92,20,122,1126,52268,33.90030580841411,18.125391178578493,6.815992839607865,8.958921790227752,2022
50,Wisconsin,62143,334,47086,7,1392,264,13060,5610301.0,126511,461,2,8163,2365,25753,731,443,14572,57313,13033,2326,1349,50315,43989,401,107,962,4856,238969,42.59468431372933,22.549770502509578,11.07658929529806,8.968324515921694,2022
51,Wyoming,3884,89,3506,0,133,12,144,453931.0,10699,36,3,809,215,2486,21,82,1012,5357,629,32,17,6105,5495,27,13,67,503,20688,45.575208566940795,23.569661468372946,8.556366496229604,13.449180602338242,2022
